Player,No,Pos,DOB/Age,Caps,Club,Country,ClubCountry,Year,Gols
Willie Watson,-,3MF,(1920-03-07)7 March 1920 (aged 30),2,Sunderland,England,England,1950,0
Bert Williams,-,1GK,(1920-01-31)31 January 1920 (aged 30),7,Wolverhampton Wanderers,England,England,1950,0
Billy Wright (c),-,3MF,(1924-02-06)6 February 1924 (aged 26),29,Wolverhampton Wanderers,England,England,1950,0
Manuel Álvarez Jiménez,-,2DF,(1928-05-23)23 May 1928 (aged 22),3,Universidad Católica,Chile,Chile,1950,0
Miguel Busquets,-,3MF,(1920-10-15)15 October 1920 (aged 29),15,Universidad de Chile,Chile,Chile,1950,0
Fernando Campos,-,3MF,(1923-10-15)15 October 1923 (aged 26),5,Colo-Colo,Chile,Chile,1950,0
Hernán Carvallo,-,3MF,(1922-08-19)19 August 1922 (aged 27),5,Universidad Católica,Chile,Chile,1950,0
Atilio Cremaschi,-,4FW,(1923-03-08)8 March 1923 (aged 27),12,Unión Española,Chile,Chile,1950,0
Guillermo Díaz,-,4FW,(1930-12-29)29 December 1930 (aged 19),4,Santiago Wanderers,Chile,Chile,1950,0
Arturo Farías,-,2DF,(1927-09-01)1 September 1927 (aged 22),4,Colo-Colo,Chile,Chile,1950,0
Miguel Flores,-,2DF,(1920-10-11)11 October 1920 (aged 29),3,Universidad de Chile,Chile,Chile,1950,0
Carlos Ibáñez,-,4FW,(1930-11-28)28 November 1930 (aged 19),0,Magallanes,Chile,Chile,1950,0
Raimundo Infante,-,4FW,(1928-02-02)2 February 1928 (aged 22),13,Universidad Católica,Chile,Chile,1950,0
Sergio Livingstone,-,1GK,(1920-03-26)26 March 1920 (aged 30),30,Universidad Católica,Chile,Chile,1950,0
Manuel Machuca,-,2DF,(1924-06-06)6 June 1924 (aged 26),18,Colo-Colo,Chile,Chile,1950,0
Luis Mayanés,-,4FW,(1925-01-15)15 January 1925 (aged 25),0,Universidad Católica,Chile,Chile,1950,0
Manuel Muñoz,-,4FW,(1928-04-28)28 April 1928 (aged 22),1,Colo-Colo,Chile,Chile,1950,0
Andrés Prieto,-,4FW,(1928-12-19)19 December 1928 (aged 21),9,Universidad Católica,Chile,Chile,1950,0
René Quitral,-,1GK,(1924-09-15)15 September 1924 (aged 25),1,Santiago Wanderers,Chile,Chile,1950,0
Fernando Riera,-,4FW,(1920-06-27)27 June 1920 (aged 29),16,Universidad Católica,Chile,Chile,1950,0
George Robledo,-,4FW,(1926-04-14)14 April 1926 (aged 24),0,Newcastle United,Chile,England,1950,0
Carlos Rojas,-,3MF,(1928-10-02)2 October 1928 (aged 21),5,Unión Española,Chile,Chile,1950,0
Fernando Roldán,-,2DF,(1930-07-24)24 July 1930 (aged 19),0,Universidad Católica,Chile,Chile,1950,0
Osvaldo Saez,-,3MF,(1923-08-13)13 August 1923 (aged 26),12,Colo-Colo,Chile,Chile,1950,0
Francisco Urroz,-,2DF,(1920-12-14)14 December 1920 (aged 29),11,Colo-Colo,Chile,Chile,1950,0
Robert Annis,-,2DF,(1928-09-05)5 September 1928 (aged 21),1,St. Louis Simpkins-Ford,United States,United States,1950,0
Walter Bahr,-,3MF,(1927-04-01)1 April 1927 (aged 23),7,Philadelphia Nationals,United States,United States,1950,0
Frank Borghi,-,1GK,(1925-04-09)9 April 1925 (aged 25),4,St. Louis Simpkins-Ford,United States,United States,1950,0
Charlie Colombo,-,3MF,(1920-07-20)20 July 1920 (aged 29),7,St. Louis Simpkins-Ford,United States,United States,1950,0
Geoff Coombes,-,2DF,(1919-04-23)23 April 1919 (aged 31),0,Chicago Vikings,United States,United States,1950,0
Robert Craddock,-,4FW,(1923-09-05)5 September 1923 (aged 26),0,Pittsburgh Harmarville S.C.,United States,United States,1950,0
Nicholas DiOrio,-,4FW,(1921-02-04)4 February 1921 (aged 29),0,Pittsburgh Harmarville S.C.,United States,United States,1950,0
Joe Gaetjens,-,4FW,(1924-03-19)19 March 1924 (aged 26),0,Brookhattan,United States,United States,1950,0
Gino Gardassanich,-,1GK,(1922-11-26)26 November 1922 (aged 27),0,Chicago Slovak,United States,United States,1950,0
Harry Keough,-,2DF,(1927-11-15)15 November 1927 (aged 22),3,St. Louis McMahon,United States,United States,1950,0
Joe Maca,-,2DF,(1920-09-28)28 September 1920 (aged 29),0,Brooklyn Hispano,United States,United States,1950,0
Ed McIlvenny,-,3MF,(1924-10-21)21 October 1924 (aged 25),0,Philadelphia Nationals,United States,United States,1950,0
Frank Moniz,-,4FW,(1911-09-26)26 September 1911 (aged 38),2,Ponta Delgada S.C.,United States,United States,1950,0
Gino Pariani,-,4FW,(1928-02-21)21 February 1928 (aged 22),2,St. Louis Simpkins-Ford,United States,United States,1950,0
Ed Souza,-,4FW,(1921-09-22)22 September 1921 (aged 28),4,Ponta Delgada S.C.,United States,United States,1950,0
John Souza,-,4FW,(1920-07-12)12 July 1920 (aged 29),9,Ponta Delgada S.C.,United States,United States,1950,0
Frank Wallace,-,4FW,(1922-07-15)15 July 1922 (aged 27),4,St. Louis Simpkins-Ford,United States,United States,1950,0
Adam Wolanin,-,4FW,(1919-11-13)13 November 1919 (aged 30),0,Chicago Eagles,United States,United States,1950,0
Sune Andersson,-,3MF,(1921-02-22)22 February 1921 (aged 29),23,AIK,Sweden,Sweden,1950,0
Ingvar Gärd,-,3MF,(1921-10-06)6 October 1921 (aged 28),1,Malmö FF,Sweden,Sweden,1950,0
Hasse Jeppson,-,4FW,(1925-05-10)10 May 1925 (aged 25),8,Djurgårdens IF,Sweden,Sweden,1950,0
Gunnar Johansson,-,2DF,(1924-02-29)29 February 1924 (aged 26),0,GAIS,Sweden,Sweden,1950,0
Egon Jönsson,-,4FW,(1921-10-08)8 October 1921 (aged 28),7,Malmö FF,Sweden,Sweden,1950,0
Torsten Lindberg,-,1GK,(1917-04-14)14 April 1917 (aged 33),18,IFK Norrköping,Sweden,Sweden,1950,0
Arne Månsson,*,2DF,(1925-11-11)11 November 1925 (aged 24),1,Malmö FF,Sweden,Sweden,1950,0
Bror Mellberg,-,4FW,(1923-12-09)9 December 1923 (aged 26),1,AIK,Sweden,Sweden,1950,0
Erik Nilsson (Captain),-,2DF,(1916-08-06)6 August 1916 (aged 33),28,Malmö FF,Sweden,Sweden,1950,0
Stellan Nilsson,-,4FW,(1922-05-28)28 May 1922 (aged 28),15,Malmö FF,Sweden,Sweden,1950,0
Knut Nordahl,-,3MF,(1920-01-13)13 January 1920 (aged 30),23,IFK Norrköping,Sweden,Sweden,1950,0
Karl-Erik Palmér,-,4FW,(1929-04-17)17 April 1929 (aged 21),5,Malmö FF,Sweden,Sweden,1950,0
Ingvar Rydell,-,4FW,(1922-05-07)7 May 1922 (aged 28),2,Malmö FF,Sweden,Sweden,1950,0
Lennart Samuelsson,-,2DF,(1924-07-07)7 July 1924 (aged 25),1,IF Elfsborg Borås,Sweden,Sweden,1950,0
Lennart Skoglund,-,4FW,(1929-12-24)24 December 1929 (aged 20),1,AIK,Sweden,Sweden,1950,0
Stig Sundqvist,-,4FW,(1922-07-19)19 July 1922 (aged 27),6,IFK Norrköping,Sweden,Sweden,1950,0
Kalle Svensson,-,1GK,(1925-11-11)11 November 1925 (aged 24),4,Helsingborgs IF,Sweden,Sweden,1950,0
Kurt Svensson,-,4FW,(1927-04-15)15 April 1927 (aged 23),0,IS Halmia,Sweden,Sweden,1950,0
Tore Svensson,-,1GK,(1927-12-06)6 December 1927 (aged 22),0,IF Elfsborg Borås,Sweden,Sweden,1950,0
Börje Tapper,-,4FW,(1922-05-20)20 May 1922 (aged 28),4,Malmö FF,Sweden,Sweden,1950,0
Olle Åhlund,-,3MF,(1920-08-22)22 August 1920 (aged 29),15,Degerfors IF,Sweden,Sweden,1950,0
Amedeo Amadei,-,4FW,(1921-07-26)26 July 1921 (aged 28),6,Internazionale,Italy,Italy,1950,0
Carlo Annovazzi,-,2DF,(1925-05-24)24 May 1925 (aged 25),10,Milan,Italy,Italy,1950,0
Ivano Blason,-,2DF,(1923-05-24)24 May 1923 (aged 27),0,Triestina,Italy,Italy,1950,0
Giampiero Boniperti,-,4FW,(1928-07-04)4 July 1928 (aged 21),6,Juventus,Italy,Italy,1950,0
Aldo Campatelli,-,4FW,(1919-04-07)7 April 1919 (aged 31),6,Internazionale,Italy,Italy,1950,0
Gino Cappello,-,4FW,(1920-06-02)2 June 1920 (aged 30),3,Bologna,Italy,Italy,1950,0
Emilio Caprile,-,4FW,(1928-09-30)30 September 1928 (aged 21),2,Atalanta,Italy,Italy,1950,0
Riccardo Carapellese,-,4FW,(1922-07-01)1 July 1922 (aged 27),11,Torino,Italy,Italy,1950,0
Giuseppe Casari,-,1GK,(1922-04-10)10 April 1922 (aged 28),2,Atalanta,Italy,Italy,1950,0
Osvaldo Fattori,-,2DF,(1922-06-22)22 June 1922 (aged 28),3,Internazionale,Italy,Italy,1950,0
Zeffiro Furiassi,-,2DF,(1923-01-19)19 January 1923 (aged 27),0,Lazio,Italy,Italy,1950,0
Attilio Giovannini,-,2DF,(1924-07-30)30 July 1924 (aged 25),4,Internazionale,Italy,Italy,1950,0
Benito Lorenzi,-,4FW,(1925-12-20)20 December 1925 (aged 24),5,Internazionale,Italy,Italy,1950,0
Augusto Magli,-,3MF,(1923-03-09)9 March 1923 (aged 27),0,Fiorentina,Italy,Italy,1950,0
Giacomo Mari,-,3MF,(1924-10-17)17 October 1924 (aged 25),3,Juventus,Italy,Italy,1950,0
Giuseppe Moro,-,1GK,(1921-01-16)16 January 1921 (aged 29),2,Torino,Italy,Italy,1950,0
Ermes Muccinelli,-,4FW,(1927-07-28)28 July 1927 (aged 22),2,Juventus,Italy,Italy,1950,0
Egisto Pandolfini,-,4FW,(1926-02-19)19 February 1926 (aged 24),0,Fiorentina,Italy,Italy,1950,0
Carlo Parola,-,3MF,(1921-09-20)20 September 1921 (aged 28),9,Juventus,Italy,Italy,1950,0
Leandro Remondini,-,3MF,(1917-11-17)17 November 1917 (aged 32),0,Lazio,Italy,Italy,1950,0
Lucidio Sentimenti,-,1GK,(1920-07-01)1 July 1920 (aged 29),7,Lazio,Italy,Italy,1950,0
Omero Tognon,-,3MF,(1924-03-03)3 March 1924 (aged 26),4,Milan,Italy,Italy,1950,0
Enrique Avalos,-,4FW,1922,,Cerro Porteño,Paraguay,Paraguay,1950,0
Marcial Avalos,-,4FW,(1921-12-05)5 December 1921 (aged 28),,Cerro Porteño,Paraguay,Paraguay,1950,0
Melanio Baez,-,3MF,,,Nacional,Paraguay,Paraguay,1950,0
Ángel Berni,-,4FW,(1931-01-09)9 January 1931 (aged 19),,Sportivo Luqueño,Paraguay,Paraguay,1950,0
Antonio Cabrera,-,2DF,,,Libertad,Paraguay,Paraguay,1950,0
Lorenzo Calonga,-,4FW,(1929-08-28)28 August 1929 (aged 20),,Guaraní,Paraguay,Paraguay,1950,0
Juan Cañete,-,4FW,(1929-07-27)27 July 1929 (aged 20),,Presidente Hayes,Paraguay,Paraguay,1950,0
Castor Cantero,-,3MF,(1918-01-12)12 January 1918 (aged 32),,Olimpia,Paraguay,Paraguay,1950,0
Pablo Centurión,-,1GK,,,Cerro Porteño,Paraguay,Paraguay,1950,0
Casiano Céspedes,-,2DF,1924,,Olimpia,Paraguay,Paraguay,1950,0
Manuel Gavilán,-,2DF,(1920-11-30)30 November 1920 (aged 29),,Libertad,Paraguay,Paraguay,1950,0
Alberto González,-,2DF,1922,,Olimpia,Paraguay,Paraguay,1950,0
Armando González,-,3MF,,,Guaraní,Paraguay,Paraguay,1950,0
Victoriano Leguizamón,-,3MF,(1922-03-23)23 March 1922 (aged 28),,Olimpia,Paraguay,Paraguay,1950,0
Atilio López,-,4FW,(1925-02-05)5 February 1925 (aged 25),,Guarani,Paraguay,Paraguay,1950,0
César López Fretes,-,4FW,(1923-03-21)21 March 1923 (aged 27),,Olimpia,Paraguay,Paraguay,1950,0
Hilarión Osorio,-,4FW,(1928-10-21)21 October 1928 (aged 21),,Sportivo Luqueño,Paraguay,Paraguay,1950,0
Elioro Paredes,-,2DF,(1921-06-19)19 June 1921 (aged 29),,Sportivo Luqueño,Paraguay,Paraguay,1950,0
Darío Jara Saguier,-,4FW,(1930-01-27)27 January 1930 (aged 20),,Cerro Porteño,Paraguay,Paraguay,1950,0
Francisco Sosa,-,4FW,1918,,Cerro Porteño,Paraguay,Paraguay,1950,0
Leongino Unzaim,-,4FW,(1925-05-16)16 May 1925 (aged 25),,Olimpia,Paraguay,Paraguay,1950,0
Marcelino Vargas,-,1GK,1921,,Club Libertad,Paraguay,Paraguay,1950,0
Julio César Britos,-,4FW,(1926-05-18)18 May 1926 (aged 24),10,Peñarol,Uruguay,Uruguay,1950,0
Juan Burgueño,-,4FW,(1923-02-04)4 February 1923 (aged 27),4,Danubio,Uruguay,Uruguay,1950,0
Schubert Gambetta,4,2DF,(1920-04-14)14 April 1920 (aged 30),34,Nacional,Uruguay,Uruguay,1950,0
Alcides Ghiggia,7,4FW,(1926-12-22)22 December 1926 (aged 23),3,Peñarol,Uruguay,Uruguay,1950,0
Juan Carlos González,4,2DF,(1924-08-22)22 August 1924 (aged 25),3,Peñarol,Uruguay,Uruguay,1950,0
Matías González,2,2DF,(1925-08-06)6 August 1925 (aged 24),13,Cerro,Uruguay,Uruguay,1950,0
William Martínez,-,2DF,(1928-01-13)13 January 1928 (aged 22),3,Rampla Juniors,Uruguay,Uruguay,1950,0
Roque Máspoli,1,1GK,(1917-10-12)12 October 1917 (aged 32),20,Peñarol,Uruguay,Uruguay,1950,0
Oscar Míguez,9,4FW,(1927-12-05)5 December 1927 (aged 22),4,Peñarol,Uruguay,Uruguay,1950,0
Rubén Morán,11,4FW,(1930-08-06)6 August 1930 (aged 19),2,Cerro,Uruguay,Uruguay,1950,0
Washington Ortuño,-,3MF,(1928-05-13)13 May 1928 (aged 22),0,Peñarol,Uruguay,Uruguay,1950,0
Aníbal Paz,1,1GK,(1917-05-21)21 May 1917 (aged 33),23,Nacional,Uruguay,Uruguay,1950,0
Julio Pérez,8,4FW,(1926-06-19)19 June 1926 (aged 24),7,River Plate,Uruguay,Uruguay,1950,0
Rodolfo Pini,-,3MF,(1926-11-12)12 November 1926 (aged 23),6,Nacional,Uruguay,Uruguay,1950,0
Luis Rijo,-,4FW,(1927-09-28)28 September 1927 (aged 22),0,Central,Uruguay,Uruguay,1950,0
Víctor Rodríguez Andrade,6,3MF,(1927-05-02)2 May 1927 (aged 23),9,Central,Uruguay,Uruguay,1950,0
Carlos Romero,-,4FW,(1927-09-07)7 September 1927 (aged 22),4,Danubio,Uruguay,Uruguay,1950,0
Juan Alberto Schiaffino,10,4FW,(1925-07-28)28 July 1925 (aged 24),7,Peñarol,Uruguay,Uruguay,1950,0
Eusebio Tejera,3,2DF,(1922-01-06)6 January 1922 (aged 28),24,Nacional,Uruguay,Uruguay,1950,0
Obdulio Varela (Captain),5,3MF,(1917-09-20)20 September 1917 (aged 32),34,Peñarol,Uruguay,Uruguay,1950,0
Ernesto Vidal,11,4FW,(1921-11-15)15 November 1921 (aged 28),0,Peñarol,Uruguay,Uruguay,1950,0
Héctor Vilches,-,2DF,(1926-02-14)14 February 1926 (aged 24),5,Cerro,Uruguay,Uruguay,1950,0
Alberto Achá,-,2DF,(1917-02-18)18 February 1917 (aged 33),23,The Strongest,Bolivia,Bolivia,1950,0
Víctor Celestino Algarañaz,-,4FW,(1926-04-06)6 April 1926 (aged 24),8,Club Litoral,Bolivia,Bolivia,1950,0
Alberto Aparicio,-,3MF,(1923-11-11)11 November 1923 (aged 26),0,Ferroviario La Paz,Bolivia,Bolivia,1950,0
Duberty Aráoz,-,3MF,(1920-12-21)21 December 1920 (aged 29),10,Club Litoral,Bolivia,Bolivia,1950,0
Vicente Arraya,-,1GK,(1921-01-25)25 January 1921 (aged 29),26,Ferroviario La Paz,Bolivia,Bolivia,1950,0
Víctor Brown,-,4FW,(1927-03-07)7 March 1927 (aged 23),2,Club Bolivar,Bolivia,Bolivia,1950,0
José Bustamante,-,2DF,(1922-03-05)5 March 1922 (aged 28),31,Club Litoral,Bolivia,Bolivia,1950,0
René Cabrera,-,3MF,(1925-10-21)21 October 1925 (aged 24),8,Club Jorge Wilstermann,Bolivia,Bolivia,1950,0
Roberto Capparelli,-,4FW,(1923-11-18)18 November 1923 (aged 26),0,The Strongest,Bolivia,Bolivia,1950,0
Leonardo Ferrel,-,3MF,(1923-07-07)7 July 1923 (aged 26),18,The Strongest,Bolivia,Bolivia,1950,0
Benedicto Godoy Véizaga,-,4FW,(1924-07-28)28 July 1924 (aged 25),9,Ferroviario La Paz,Bolivia,Bolivia,1950,0
Antonio Greco,-,2DF,(1923-09-17)17 September 1923 (aged 26),0,Club Litoral,Bolivia,Bolivia,1950,0
Juan Guerra,-,4FW,(1927-04-13)13 April 1927 (aged 23),9,Ferroviario La Paz,Bolivia,Bolivia,1950,0
Benigno Gutiérrez,-,4FW,(1925-09-01)1 September 1925 (aged 24),15,Club Litoral,Bolivia,Bolivia,1950,0
Eduardo Gutiérrez,-,1GK,(1925-01-17)17 January 1925 (aged 25),12,CD Ingavi,Bolivia,Bolivia,1950,0
Benjamin Maldonado,-,4FW,(1928-01-04)4 January 1928 (aged 22),4,San Jose de Oruro,Bolivia,Bolivia,1950,0
Mario Mena,-,4FW,(1927-02-28)28 February 1927 (aged 23),9,Club Bolívar,Bolivia,Bolivia,1950,0
Humberto Saavedra,-,3MF,(1923-08-03)3 August 1923 (aged 26),0,The Strongest,Bolivia,Bolivia,1950,0
Eulogio Sandoval,-,3MF,(1922-07-22)22 July 1922 (aged 27),0,Club Litoral,Bolivia,Bolivia,1950,0
Víctor Agustín Ugarte,-,4FW,(1926-05-05)5 May 1926 (aged 24),16,Club Bolívar,Bolivia,Bolivia,1950,0
Antonio Valencia,-,3MF,(1925-05-10)10 May 1925 (aged 25),9,Club Bolívar,Bolivia,Bolivia,1950,0
Castilho,1,1GK,(1927-11-27)27 November 1927 (aged 26),13,Fluminense,Brazil,Brazil,1954,0
Djalma Santos,2,2DF,(1929-02-27)27 February 1929 (aged 25),15,Portuguesa,Brazil,Brazil,1954,0
Nílton Santos,3,2DF,(1925-05-16)16 May 1925 (aged 29),20,Botafogo,Brazil,Brazil,1954,0
Brandãozinho,4,2DF,(1925-06-09)9 June 1925 (aged 29),13,Portuguesa,Brazil,Brazil,1954,0
Pinheiro,5,3MF,(1932-01-13)13 January 1932 (aged 22),13,Fluminense,Brazil,Brazil,1954,0
Bauer (captain),6,3MF,(1925-11-21)21 November 1925 (aged 28),22,São Paulo FC,Brazil,Brazil,1954,0
Julinho,7,4FW,(1929-07-29)29 July 1929 (aged 24),14,Portuguesa,Brazil,Brazil,1954,0
Didi,8,3MF,(1928-10-08)8 October 1928 (aged 25),14,Fluminense,Brazil,Brazil,1954,0
Baltazar,9,4FW,(1926-01-14)14 January 1926 (aged 28),19,Corinthians,Brazil,Brazil,1954,0
Pinga,10,4FW,(1924-02-11)11 February 1924 (aged 30),14,Vasco da Gama,Brazil,Brazil,1954,0
Rodrigues,11,4FW,(1925-06-27)27 June 1925 (aged 28),15,Palmeiras,Brazil,Brazil,1954,0
Paulinho,12,2DF,(1932-04-15)15 April 1932 (aged 22),0,Vasco da Gama,Brazil,Brazil,1954,0
Alfredo,13,2DF,(1924-10-27)27 October 1924 (aged 29),2,São Paulo FC,Brazil,Brazil,1954,0
Ely,14,3MF,(1921-05-14)14 May 1921 (aged 33),17,Vasco da Gama,Brazil,Brazil,1954,0
Mauro,15,2DF,(1930-08-30)30 August 1930 (aged 23),6,São Paulo FC,Brazil,Brazil,1954,0
Dequinha,16,3MF,(1928-03-19)19 March 1928 (aged 26),0,Flamengo,Brazil,Brazil,1954,0
Maurinho,17,4FW,(1933-06-06)6 June 1933 (aged 21),1,São Paulo FC,Brazil,Brazil,1954,0
Humberto,18,4FW,(1934-02-04)4 February 1934 (aged 20),4,Palmeiras,Brazil,Brazil,1954,0
Índio,19,4FW,(1931-03-01)1 March 1931 (aged 23),0,Flamengo,Brazil,Brazil,1954,0
Rubens,20,4FW,(1928-11-04)4 November 1928 (aged 25),1,Flamengo,Brazil,Brazil,1954,0
Veludo,21,1GK,(1930-08-07)7 August 1930 (aged 23),4,Fluminense,Brazil,Brazil,1954,0
Cabeção,22,1GK,(1930-08-23)23 August 1930 (aged 23),,Corinthians,Brazil,Brazil,1954,0
Vladimir Beara,1,1GK,(1928-11-02)2 November 1928 (aged 25),25,Hajduk Split,Yugoslavia,Socialist Federal Republic of Yugoslavia,1954,0
Branko Stanković,2,2DF,(1921-10-31)31 October 1921 (aged 32),50,Red Star Belgrade,Yugoslavia,Socialist Federal Republic of Yugoslavia,1954,0
Tomislav Crnković,3,2DF,(1929-06-17)17 June 1929 (aged 24),17,Dinamo Zagreb,Yugoslavia,Socialist Federal Republic of Yugoslavia,1954,0
Zlatko Čajkovski,4,3MF,(1923-11-24)24 November 1923 (aged 30),53,Partizan Belgrade,Yugoslavia,Socialist Federal Republic of Yugoslavia,1954,0
Ivan Horvat,5,2DF,(1926-07-16)16 July 1926 (aged 27),43,Dinamo Zagreb,Yugoslavia,Socialist Federal Republic of Yugoslavia,1954,0
Vujadin Boškov,6,2DF,(1931-05-16)16 May 1931 (aged 23),22,Vojvodina Novi Sad,Yugoslavia,Socialist Federal Republic of Yugoslavia,1954,0
Tihomir Ognjanov,7,4FW,(1927-03-02)2 March 1927 (aged 27),22,Spartak Subotica,Yugoslavia,Socialist Federal Republic of Yugoslavia,1954,0
Rajko Mitić,8,4FW,(1922-11-19)19 November 1922 (aged 31),47,Red Star Belgrade,Yugoslavia,Socialist Federal Republic of Yugoslavia,1954,0
Bernard Vukas,9,4FW,(1927-05-01)1 May 1927 (aged 27),35,Hajduk Split,Yugoslavia,Socialist Federal Republic of Yugoslavia,1954,0
Stjepan Bobek (captain),10,3MF,(1923-12-03)3 December 1923 (aged 30),53,Partizan Belgrade,Yugoslavia,Socialist Federal Republic of Yugoslavia,1954,0
Branko Zebec,11,4FW,(1929-05-17)17 May 1929 (aged 25),22,Partizan Belgrade,Yugoslavia,Socialist Federal Republic of Yugoslavia,1954,0
Branko Kralj,12,1GK,(1924-03-10)10 March 1924 (aged 30),0,Dinamo Zagreb,Yugoslavia,Socialist Federal Republic of Yugoslavia,1954,0
Miljan Zeković,13,2DF,(1925-11-15)15 November 1925 (aged 28),3,Red Star Belgrade,Yugoslavia,Socialist Federal Republic of Yugoslavia,1954,0
Lav Mantula,14,3MF,(1928-12-08)8 December 1928 (aged 25),0,Dinamo Zagreb,Yugoslavia,Socialist Federal Republic of Yugoslavia,1954,0
Ljubiša Spajić,15,3MF,(1926-03-07)7 March 1926 (aged 28),6,Red Star Belgrade,Yugoslavia,Socialist Federal Republic of Yugoslavia,1954,0
Sima Milovanov,16,2DF,(1923-04-10)10 April 1923 (aged 31),4,Vojvodina Novi Sad,Yugoslavia,Socialist Federal Republic of Yugoslavia,1954,0
Bruno Belin,17,2DF,(1929-01-16)16 January 1929 (aged 25),3,Partizan Belgrade,Yugoslavia,Socialist Federal Republic of Yugoslavia,1954,0
Miloš Milutinović,18,4FW,(1933-02-05)5 February 1933 (aged 21),8,Partizan Belgrade,Yugoslavia,Socialist Federal Republic of Yugoslavia,1954,0
Zlatko Papec,19,3MF,(1934-01-17)17 January 1934 (aged 20),2,Lokomotiva Zagreb,Yugoslavia,Socialist Federal Republic of Yugoslavia,1954,0
Dionizije Dvornić,20,4FW,(1926-04-27)27 April 1926 (aged 28),3,Dinamo Zagreb,Yugoslavia,Socialist Federal Republic of Yugoslavia,1954,0
Todor Veselinović,21,4FW,(1930-10-22)22 October 1930 (aged 23),4,Vojvodina Novi Sad,Yugoslavia,Socialist Federal Republic of Yugoslavia,1954,0
Aleksandar Petaković,22,4FW,(1930-02-06)6 February 1930 (aged 24),0,Radnički Belgrade,Yugoslavia,Socialist Federal Republic of Yugoslavia,1954,0
François Remetter,1,1GK,(1928-08-08)8 August 1928 (aged 25),4,FC Metz,France,France,1954,0
César Ruminski,2,1GK,(1924-06-14)14 June 1924 (aged 30),7,Lille OSC,France,France,1954,0
Claude Abbes,3,1GK,(1927-05-24)24 May 1927 (aged 27),0,AS Saint-Étienne,France,France,1954,0
Lazare Gianessi,4,2DF,(1925-11-09)9 November 1925 (aged 28),12,AS Monaco,France,France,1954,0
Jacques Grimonpon,5,2DF,(1925-07-30)30 July 1925 (aged 28),0,FC Girondins de Bordeaux,France,France,1954,0
Raymond Kaelbel,6,2DF,(1932-01-31)31 January 1932 (aged 22),0,RC Strasbourg,France,France,1954,0
Roger Marche (captain),7,2DF,(1924-03-05)5 March 1924 (aged 30),37,Stade de Reims,France,France,1954,0
Guillaume Bieganski,8,3MF,(1932-11-03)3 November 1932 (aged 21),1,Lille OSC,France,France,1954,0
Antoine Cuissard,9,3MF,(1924-07-19)19 July 1924 (aged 29),27,OGC Nice,France,France,1954,0
Robert Jonquet,10,2DF,(1925-05-03)3 May 1925 (aged 29),26,Stade de Reims,France,France,1954,0
Xercès Louis,11,3MF,(1926-10-31)31 October 1926 (aged 27),0,RC Lens,France,France,1954,0
Jean-Jacques Marcel,12,3MF,(1931-06-13)13 June 1931 (aged 23),8,FC Sochaux,France,France,1954,0
Abderrahmane Mahjoub,13,3MF,(1929-04-25)25 April 1929 (aged 25),2,OGC Nice,France,France,1954,0
Armand Penverne,14,3MF,(1926-11-26)26 November 1926 (aged 27),11,Stade de Reims,France,France,1954,0
Abdelaziz Ben Tifour,15,3MF,(1927-07-25)25 July 1927 (aged 26),1,AS Troyes,France,France,1954,0
René Dereuddre,16,3MF,(1930-06-26)26 June 1930 (aged 23),1,Toulouse FC,France,France,1954,0
Léon Glovacki,17,4FW,(1928-02-19)19 February 1928 (aged 26),3,Stade de Reims,France,France,1954,0
Raymond Kopa,18,3MF,(1931-10-13)13 October 1931 (aged 22),13,Stade de Reims,France,France,1954,0
Michel Leblond,19,3MF,(1932-05-10)10 May 1932 (aged 22),1,Stade de Reims,France,France,1954,0
Ernest Schultz,20,4FW,(1931-01-29)29 January 1931 (aged 23),0,Olympique de Lyon,France,France,1954,0
André Strappe,21,4FW,(1928-02-23)23 February 1928 (aged 26),23,Lille OSC,France,France,1954,0
Jean Vincent,22,4FW,(1930-11-29)29 November 1930 (aged 23),2,Lille OSC,France,France,1954,0
Antonio Carbajal,1,1GK,(1929-06-07)7 June 1929 (aged 25),11,FC León,Mexico,Mexico,1954,0
Narciso López,2,2DF,(1928-08-18)18 August 1928 (aged 25),3,CD Oro,Mexico,Mexico,1954,0
Jorge Romo,3,2DF,(1923-04-20)20 April 1923 (aged 31),5,Club Deportivo Marte,Mexico,Mexico,1954,0
Saturnino Martínez,4,2DF,(1928-01-01)1 January 1928 (aged 26),6,Necaxa,Mexico,Mexico,1954,0
Raúl Cárdenas,5,3MF,(1928-10-30)30 October 1928 (aged 25),4,Puebla F.C.,Mexico,Mexico,1954,0
Rafael Ávalos,6,3MF,(1925-11-22)22 November 1925 (aged 28),4,Atlante F.C.,Mexico,Mexico,1954,0
Alfredo Torres,7,4FW,(1931-05-31)31 May 1931 (aged 23),3,Atlas,Mexico,Mexico,1954,0
José Naranjo (captain),8,4FW,(1926-03-19)19 March 1926 (aged 28),12,CD Oro,Mexico,Mexico,1954,0
José Luis Lamadrid,9,4FW,(1930-07-03)3 July 1930 (aged 23),5,Necaxa,Mexico,Mexico,1954,0
Tomás Balcázar,10,4FW,(1931-12-21)21 December 1931 (aged 22),9,CD Guadalajara,Mexico,Mexico,1954,0
Raúl Arellano,11,4FW,(1935-02-28)28 February 1935 (aged 19),0,CD Guadalajara,Mexico,Mexico,1954,0
Salvador Mota,12,1GK,(1922-11-30)30 November 1922 (aged 31),0,Atlante F.C.,Mexico,Mexico,1954,0
